movieId,reviewCount,positiveReviewCount,negativeReviewCount,positiveReviewRatio,negativeReviewRatio,meanSentimentScore,medianSentimentScore,sentimentReliability,adjustedSentimentScore,sentimentStd,meanPositiveProb,meanNegativeProb,meanSentimentConfidence
208,3,2,1,0.6666666666666666,0.3333333333333333,0.45748722388138097,0.9592430248985478,0.375,0.17155770895551786,0.8937190872075906,0.7287436202888138,0.27125639640743276,0.9201972865199908
214,1,1,0,1.0,0.0,0.9993183318242774,0.9993183318242774,0.16666666666666666,0.16655305530404624,0.0,0.9996591700185643,0.00034083819428686263,0.9996591700185643
215,3,3,0,1.0,0.0,0.9964587856065674,0.9975001679526435,0.375,0.3736720446024628,0.0033945919205147067,0.998229410161308,0.0017706245547405824,0.998229410161308
216,1,1,0,1.0,0.0,0.998053119255182,0.998053119255182,0.16666666666666666,0.16634218654253033,0.0,0.9990265675080128,0.00097344825283075,0.9990265675080128
217,2,1,1,0.5,0.5,-0.010308181138661443,-0.010308181138661443,0.2857142857142857,-0.0029451946110461264,1.3979981459054975,0.4948458890430629,0.5051540701817244,0.9942669641403925
222,1,1,0,1.0,0.0,0.9955718618138393,0.9955718618138393,0.16666666666666666,0.16592864363563986,0.0,0.9977858693976152,0.002214007583775915,0.9977858693976152
223,2,2,0,1.0,0.0,0.9894053501424505,0.9894053501424505,0.2857142857142857,0.28268724289784297,0.013067649692866024,0.9947026930114907,0.0052973428690402105,0.9947026930114907
224,4,3,1,0.75,0.25,0.49783604303074513,0.9934523451232685,0.4444444444444444,0.22126046356922005,0.9948562088457994,0.7489180198946629,0.2510819768639177,0.997528460604037
227,2,1,1,0.5,0.5,0.02678421819655258,0.02678421819655258,0.2857142857142857,0.007652633770443593,1.371109965593223,0.5133921208057383,0.4866079026091856,0.9847605889191728
230,3,1,2,0.3333333333333333,0.6666666666666666,0.03093696205284276,-0.2552498050681201,0.375,0.011601360769816035,0.8618811378040707,0.515468480030019,0.4845315179771763,0.8177005663348204
